conference,region,tier,notes
# D2 conference strength tiers. tier: 1 (weakest) .. 5 (strongest). Default = 3 (neutral).
# EDIT THIS FILE to reflect your scouting view of competition level, then re-run
#   python -m ingest.conferences --division D2 --season <YYYY>
# Lines starting with # are ignored. 'region' is informational only.
Northeast-10 Conference,Northeast,3,
Central Atlantic Collegiate Conference,Northeast,3,
East Coast Conference,Northeast,3,
Pennsylvania State Athletic Conference,Northeast,3,
Mountain East Conference,Mid-Atlantic,3,
Great Midwest Athletic Conference,Midwest,3,
Great Lakes Intercollegiate Athletic Conference,Midwest,3,
Great Lakes Valley Conference,Midwest,3,
Midwest Intercollegiate Athletic Association,Midwest,3,
Northern Sun Intercollegiate Conference,Upper Midwest,3,
Great American Conference,South Central,3,
Lone Star Conference,South,3,
Rocky Mountain Athletic Conference,Mountain West,3,
Heartland Conference,South Central,3,
California Collegiate Athletic Association,West,3,
Pacific West Conference,West,3,
Great Northwest Athletic Conference,Northwest,3,
Peach Belt Conference,Southeast,3,
South Atlantic Conference,Southeast,3,
Gulf South Conference,South,3,
Sunshine State Conference,Southeast,3,
Conference Carolinas,Southeast,3,
Central Intercollegiate Athletic Association,Southeast,3,
Southern Intercollegiate Athletic Conference,Southeast,3,
